Frequency/GHz, Amplitude rel., Phase
  6340.0,  1.583531E-5,   555.01471
  6350.0,  1.880672E-5,   556.34616
  6360.0,  1.726975E-5,   558.07025
  6370.0,  1.468443E-5,   559.73359
  6380.0,  8.917858E-6,   560.62358
  6390.0,  1.491923E-5,   560.81981
  6400.0,  2.312750E-5,   561.98419
  6410.0,  1.807193E-5,   563.39810
  6420.0,  2.188382E-6,   565.37782
  6430.0,  1.317324E-5,   563.23284
  6440.0,  1.798376E-5,   565.01049
  6450.0,  1.254461E-5,   566.77938
  6460.0,  5.505383E-6,   566.43185
  6470.0,  2.906233E-5,   567.54755
  6480.0,  4.729304E-5,   569.08389
  6490.0,  4.279927E-5,   570.53218
  6500.0,  1.931021E-5,   571.41936
  6510.0,  2.930195E-5,   571.36721
  6520.0,  4.353995E-5,   572.53140
  6530.0,  3.532409E-5,   573.65339
  6540.0,  2.776857E-5,   574.22487
  6550.0,  3.427467E-5,   575.07770
  6560.0,  2.666384E-5,   576.34240
  6570.0,  5.918477E-6,   577.58964
  6580.0,  9.163828E-6,   575.95124
  6590.0,  9.311614E-6,   576.63466
  6600.0,  1.699866E-5,   576.85159
  6610.0,  2.541520E-5,   578.05022
  6620.0,  1.825756E-5,   579.55066
